ら戳,丁,秨絃基,程蔼基,程基,Μ絃基,Θユ秖
2026/1/30,00:00:00,32070,32115,32051,32064,1119
2026/1/30,00:05:00,32063,32092,31994,32062,1542
2026/1/30,00:10:00,32056,32180,32029,32174,1943
2026/1/30,00:15:00,32174,32195,32148,32188,1139
2026/1/30,00:20:00,32191,32218,32132,32176,1502
2026/1/30,00:25:00,32173,32204,32145,32170,1366
2026/1/30,00:30:00,32168,32193,32136,32138,1239
2026/1/30,00:35:00,32138,32178,32103,32167,929
2026/1/30,00:40:00,32162,32202,32157,32169,558
2026/1/30,00:45:00,32171,32192,32156,32179,354
2026/1/30,00:50:00,32182,32190,32135,32158,494
2026/1/30,00:55:00,32159,32172,32145,32166,362
2026/1/30,01:00:00,32164,32262,32164,32254,1458
2026/1/30,01:05:00,32251,32285,32251,32270,902
2026/1/30,01:10:00,32268,32278,32239,32262,908
2026/1/30,01:15:00,32264,32296,32258,32293,647
2026/1/30,01:20:00,32293,32333,32285,32320,830
2026/1/30,01:25:00,32321,32329,32297,32314,466
2026/1/30,01:30:00,32311,32326,32294,32318,349
2026/1/30,01:35:00,32320,32367,32319,32331,687
2026/1/30,01:40:00,32331,32335,32275,32299,768
2026/1/30,01:45:00,32301,32301,32249,32282,429
2026/1/30,01:50:00,32280,32286,32232,32235,361
2026/1/30,01:55:00,32235,32263,32230,32242,249
2026/1/30,02:00:00,32245,32306,32232,32291,459
2026/1/30,02:05:00,32296,32328,32285,32309,429
2026/1/30,02:10:00,32309,32336,32309,32326,353
2026/1/30,02:15:00,32323,32326,32291,32299,228
2026/1/30,02:20:00,32303,32312,32284,32312,132
2026/1/30,02:25:00,32310,32321,32300,32313,128
2026/1/30,02:30:00,32303,32303,32280,32301,116
2026/1/30,02:35:00,32303,32324,32296,32321,155
2026/1/30,02:40:00,32325,32346,32314,32339,255
2026/1/30,02:45:00,32340,32340,32315,32336,184
2026/1/30,02:50:00,32333,32341,32314,32325,131
2026/1/30,02:55:00,32324,32328,32300,32304,106
2026/1/30,03:00:00,32300,32321,32292,32314,138
2026/1/30,03:05:00,32319,32348,32319,32332,175
2026/1/30,03:10:00,32332,32345,32323,32342,119
2026/1/30,03:15:00,32342,32358,32332,32339,170
2026/1/30,03:20:00,32345,32366,32340,32363,162
2026/1/30,03:25:00,32363,32376,32358,32365,195
2026/1/30,03:30:00,32365,32373,32323,32328,146
2026/1/30,03:35:00,32327,32355,32327,32341,94
2026/1/30,03:40:00,32343,32353,32343,32347,35
2026/1/30,03:45:00,32350,32355,32333,32335,62
2026/1/30,03:50:00,32335,32350,32333,32349,69
2026/1/30,03:55:00,32349,32361,32318,32319,149
2026/1/30,04:00:00,32315,32342,32306,32330,118
2026/1/30,04:05:00,32333,32348,32332,32343,85
2026/1/30,04:10:00,32337,32342,32329,32335,53
2026/1/30,04:15:00,32335,32347,32332,32347,34
2026/1/30,04:20:00,32343,32350,32333,32345,38
2026/1/30,04:25:00,32346,32347,32316,32317,68
2026/1/30,04:30:00,32318,32330,32306,32330,104
2026/1/30,04:35:00,32333,32388,32332,32373,352
2026/1/30,04:40:00,32373,32402,32365,32387,352
2026/1/30,04:45:00,32383,32387,32369,32378,197
2026/1/30,04:50:00,32378,32423,32378,32416,322
2026/1/30,04:55:00,32416,32466,32414,32443,642
2026/1/30,08:45:00,32456,32518,32451,32494,3262
2026/1/30,08:50:00,32495,32526,32483,32489,1198
2026/1/30,08:55:00,32489,32522,32472,32518,1021
2026/1/30,09:00:00,32516,32520,32389,32461,3412
2026/1/30,09:05:00,32460,32460,32358,32360,1858
2026/1/30,09:10:00,32360,32414,32350,32388,2121
2026/1/30,09:15:00,32390,32437,32390,32397,1663
2026/1/30,09:20:00,32399,32420,32318,32358,2093
2026/1/30,09:25:00,32356,32375,32311,32341,1464
